price,Date,AAPL,AMZN,AVGO,DIA,GOOGL,META,MSFT,NVDA,ONEQ,PINK,QQQ,SPY,TSLA
64285.8,2024-03-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67310.98,2024-03-25,0.7206585447984651,0.8393741316708738,0.7221753986958761,0.8791949355466779,0.7840672674066587,0.8424373463789655,0.902768905964328,0.6380042021113047,0.8450084386337802,0.9061522738991701,0.8624714643379905,0.862639912155696,0.4932285853794643
69938.95,2024-03-26,0.7158499161645486,0.8327884071406856,0.7114409081125472,0.8789712598418687,0.7872020355853411,0.8304963466883711,0.9001856416747545,0.6216112022137952,0.841734803920144,0.9121652953735413,0.8596790353848145,0.8610466536270229,0.5076285661969866
70082.05,2024-03-27,0.7310349300277419,0.8399345946029929,0.7046229905602294,0.8895094372272424,0.7882469050318048,0.827096571537486,0.8997159632027873,0.606091216562468,0.8448775573830605,0.9290015372557957,0.8626071534141295,0.8682826772940986,0.5138000052315849
69435.75,2024-03-28,0.723315815641718,0.8425035018242841,0.7081922097049183,0.8899569952975058,0.7885604298014603,0.8132295446861755,0.8982002153733747,0.6068031157117967,0.8433061806516022,0.9296028623764945,0.8610170507629098,0.8681167256060193,0.5022571236746651
70710.2,2024-03-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
69919.06,2024-03-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
69702.31,2024-03-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71246.95,2024-04-01,0.7171997066582796,0.845259206266466,0.7214701053689356,0.8845200292741692,0.8123850355898166,0.8228929152250012,0.9064196867140626,0.6068501076150457,0.8447466761323408,0.9211847127187902,0.8628398904515491,0.8666064429213858,0.5006285749162946
69785.93,2024-04-02,0.7121801086640775,0.8439514119118899,0.7153254783049885,0.8762416860422502,0.8075260010574967,0.8329749717351124,0.8997374103055028,0.600732141026955,0.8370206236180929,0.9112633076924933,0.8553933736720456,0.8610963983590761,0.47608572823660716
65440.42,2024-04-03,0.7155968304469741,0.8519850465296839,0.7283895293605119,0.8754138034982413,0.8094069099164936,0.8486674509859348,0.8976238244878965,0.5974548529261043,0.8399015143642172,0.910962645132144,0.8573132019654142,0.8620423637554989,0.48108572823660717
66123.94,2024-04-04,0.7120958759494994,0.8407286075133107,0.703965783549704,0.8636895317841317,0.7864706109888873,0.8556679971826777,0.8921370932807078,0.576911550681562,0.8283780515950726,0.9019432852200489,0.8442043076236367,0.8515201806630809,0.48888571602957587
68542.18,2024-04-05,0.7153015637764705,0.8644091641676036,0.7156833356870463,0.8700438644107774,0.7967632223856845,0.8831675642093549,0.9084478110583484,0.5910346930408937,0.8367587609013009,0.9112633076924933,0.8541523468986796,0.8604159760507657,0.4711428397042411
67978.61,2024-04-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
69000.65,2024-04-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
69401.97,2024-04-08,0.7105351160954829,0.8649696270997227,0.7139041419796907,0.8705810443141043,0.8090412775379122,0.8696187509864162,0.9064623193694603,0.5851584503433432,0.8385920003495512,0.9124659579338906,0.8544044341718041,0.8608971136230841,0.4942285592215402
71624.18,2024-04-09,0.7156811277571923,0.8672115500976464,0.7128248257342866,0.8699990879376865,0.8181844046721664,0.8656830209217011,0.9100703366887805,0.5732111817156913,0.8402943585470818,0.9220866429666842,0.8575652892385386,0.8618930276234128,0.5053714425223215
69158.64,2024-04-10,0.7077089276535937,0.8685193444522223,0.7065679425596642,0.8603111813328674,0.8157810610899378,0.8705900860528718,0.9036229322099585,0.5845271599877011,0.8340088015135725,0.9112633076924933,0.8500800719876254,0.8532628262918034,0.49074284144810265
70527.89,2024-04-11,0.738332234884475,0.8829985878671749,0.7386752416768207,0.8603783460425037,0.8328658034066229,0.8761669668034668,0.9135929579222883,0.6085491442041612,0.847234522264895,0.9091587272032019,0.8636543216911395,0.8597022206945424,0.49885716029575894
70106.66,2024-04-12,0.7447015587767679,0.8693601101198482,0.7181625709734747,0.8499295149426668,0.82408830865095,0.857309199077703,0.9007194652923433,0.5922300399713026,0.834139782979645,0.8902179622648099,0.8498860947781668,0.8478357575735335,0.48871429443359377
67252.11,2024-04-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64404.83,2024-04-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65752.66,2024-04-15,0.7284197109461382,0.8576365711470776,0.700327142862887,0.8442017773917663,0.8090934650664835,0.8377648191328838,0.8830851081846132,0.5775562672952752,0.8194736168552603,0.874584255757645,0.8359045997765819,0.8372139830810826,0.4613714163643973
63430.57,2024-04-16,0.7144579447178886,0.8562354138167797,0.7101425775693417,0.8457007559370847,0.8066900415646092,0.8369776833617698,0.8850918508136919,0.5870522701650097,0.817116551758073,0.8691726168371264,0.8359821787890551,0.835687084840456,0.4488857160295759
63720.5,2024-04-17,0.7086369732136738,0.8467071163540718,0.6853340591686532,0.8445149371558756,0.8122805006933829,0.8276157810608302,0.8792422189355554,0.5643532335758943,0.8088667738102409,0.8673687563413381,0.8257820522408879,0.830741306598394,0.4441428484235491
61328.9,2024-04-18,0.7045875371368409,0.8370854559156421,0.672702784960865,0.8453875961729754,0.8151018240220552,0.8403941526939954,0.8630809116143319,0.5686243722455673,0.8054621576305323,0.8658654435395915,0.8210699137074459,0.8290317901457316,0.4283714076450893
63461.59,2024-04-19,0.6959827519305861,0.81564689352872,0.6436998842728122,0.8502184265244254,0.8050704699466967,0.8056764006034076,0.8520861328722554,0.5117357794404017,0.7880460321184193,0.8631596527959091,0.8040825435944191,0.821795715510693,0.4201428658621652
63988.82,2024-04-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64894.42,2024-04-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64936.42,2024-04-22,0.6995258873809899,0.8277907084311329,0.6542526972033376,0.8559716522215468,0.8165124057667459,0.8067817500028934,0.8560143528196172,0.5340184482935328,0.7965576727830435,0.8691726168371264,0.8121690427094129,0.8293637444898535,0.4058571515764509
66841.67,2024-04-23,0.7039970037958336,0.8385800474911088,0.6674664230730947,0.8619038460372683,0.8268572846117599,0.8308480510977141,0.8701261540813476,0.5535275187045199,0.8091286866347094,0.8773502364465511,0.8242888788378462,0.8392055052739609,0.4133714076450893
66406.95,2024-04-24,0.7129394304124412,0.8248014540107523,0.6715432975019159,0.8606055349782785,0.8314028742940698,0.8264936350617137,0.8733071255840984,0.535086245772266,0.8112238890151046,0.8781920341823753,0.8270813671475734,0.8388071906417927,0.46322858537946426
64279.52,2024-04-25,0.7166091733172723,0.8111629762634256,0.6916336948532624,0.8527257023568682,0.8150495565738384,0.7392051890022011,0.851915340700631,0.5549311263708107,0.8052002448060638,0.8739829880701002,0.8230866712489924,0.8356206735844464,0.4862285505022321
64486.18,2024-04-26,0.7141204970944558,0.8389537132023374,0.7181625709734747,0.8558372539153926,0.8983832095857541,0.742404019467259,0.8674575590934701,0.5892012401352875,0.8222235261353121,0.8727803952618568,0.8357882609361478,0.843537272463722,0.4808285522460938
63802.33,2024-04-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63517.25,2024-04-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63030.43,2024-04-29,0.7318363681333947,0.8452125247786051,0.7152506408978716,0.8591728256131346,0.8680799976471656,0.7245342809892911,0.8587684092808152,0.5893490314645895,0.823532990042302,0.8748849757511482,0.8391818530403019,0.8465246067210025,0.5544285801478794
63797.68,2024-04-30,0.7184650706505123,0.8173750350823854,0.6947594695373596,0.8464800043426289,0.8504729005268942,0.7204311994380104,0.8311852774009459,0.5802492569437327,0.8088667738102409,0.8706758722057192,0.8233580494012704,0.8331146298033737,0.5236571393694196
60749.47,2024-05-01,0.7141204970944558,0.8360578930271256,0.6640842153876377,0.8481813036594364,0.8561155471842391,0.735537436394401,0.843162176517371,0.5576778210515527,0.8040217122574701,0.8817998126071057,0.8174047653813599,0.8304094032222353,0.5142571585518974
